name,link,size
Alchemist Marie & Elie - Futari no Atelier (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Alchemist%20Marie%20%26%20Elie%20-%20Futari%20no%20Atelier%20%28Japan%29.wsc,4.00 MB
Another Heaven - Memory of those Days (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Another%20Heaven%20-%20Memory%20of%20those%20Days%20%28Japan%29.wsc,4.00 MB
Arc the Lad - Kishin Fukkatsu (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Arc%20the%20Lad%20-%20Kishin%20Fukkatsu%20%28Japan%29.wsc,8.00 MB
Battle Spirit - Digimon Frontier (Japan) (Rev 1).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Battle%20Spirit%20-%20Digimon%20Frontier%20%28Japan%29%20%28Rev%201%29.wsc,4.00 MB
Blue Wing Blitz (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Blue%20Wing%20Blitz%20%28Japan%29.wsc,2.00 MB
Dark Eyes - Battle Gate (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Dark%20Eyes%20-%20Battle%20Gate%20%28Japan%29.wsc,4.00 MB
Dicing Knight. (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Dicing%20Knight.%20%28Japan%29.wsc,2.00 MB
Digimon - Anode Tamer & Cathode Tamer - Veedramon Version (Hong Kong).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Digimon%20-%20Anode%20Tamer%20%26%20Cathode%20Tamer%20-%20Veedramon%20Version%20%28Hong%20Kong%29.wsc,4.00 MB
Digimon - Anode Tamer & Cathode Tamer - Veedramon Version (Korea).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Digimon%20-%20Anode%20Tamer%20%26%20Cathode%20Tamer%20-%20Veedramon%20Version%20%28Korea%29.wsc,4.00 MB
Digimon Adventure 02 - D1 Tamers (Japan) (Rev 1).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Digimon%20Adventure%2002%20-%20D1%20Tamers%20%28Japan%29%20%28Rev%201%29.wsc,4.00 MB
Digimon Adventure 02 - D1 Tamers (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Digimon%20Adventure%2002%20-%20D1%20Tamers%20%28Japan%29.wsc,4.00 MB
"Digimon Tamers - Battle Spirit (Japan, Korea) (En,Ja).wsc",https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Digimon%20Tamers%20-%20Battle%20Spirit%20%28Japan%2C%20Korea%29%20%28En%2CJa%29.wsc,4.00 MB
Digimon Tamers - Battle Spirit Ver. 1.5 (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Digimon%20Tamers%20-%20Battle%20Spirit%20Ver.%201.5%20%28Japan%29.wsc,8.00 MB
Digimon Tamers - Brave Tamer (Japan) (Rev 1).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Digimon%20Tamers%20-%20Brave%20Tamer%20%28Japan%29%20%28Rev%201%29.wsc,4.00 MB
Digimon Tamers - Digimon Medley (Japan) (Rev 1).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Digimon%20Tamers%20-%20Digimon%20Medley%20%28Japan%29%20%28Rev%201%29.wsc,4.00 MB
Digimon Tamers - Digimon Medley (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Digimon%20Tamers%20-%20Digimon%20Medley%20%28Japan%29.wsc,4.00 MB
