name;link
10-Yard Fight (Japan) (Alt 1).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/10-Yard%20Fight%20%28Japan%29%20%28Alt%201%29.rom?download=true
10-Yard Fight (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/10-Yard%20Fight%20%28Japan%29.rom?download=true
1942 (Japan) (Alt 1).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/1942%20%28Japan%29%20%28Alt%201%29.rom?download=true
1942 (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/1942%20%28Japan%29.rom?download=true
3-D Golf Simulation (Japan) (Alt 1).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/3-D%20Golf%20Simulation%20%28Japan%29%20%28Alt%201%29.rom?download=true
3-D Golf Simulation (Japan) (High Speed).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/3-D%20Golf%20Simulation%20%28Japan%29%20%28High%20Speed%29.rom?download=true
3-D Golf Simulation (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/3-D%20Golf%20Simulation%20%28Japan%29.rom?download=true
3D Tennis (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/3D%20Tennis%20%28Japan%29.rom?download=true
A.E. (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/A.E.%20%28Japan%29.rom?download=true
A1 Spirit - The Way to Formula-1 (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/A1%20Spirit%20-%20The%20Way%20to%20Formula-1%20%28Japan%29.rom?download=true
Actman (Japan) (Alt 1).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Actman%20%28Japan%29%20%28Alt%201%29.rom?download=true
Actman (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Actman%20%28Japan%29.rom?download=true
Adven' Chuta! (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Adven%27%20Chuta%21%20%28Japan%29.rom?download=true
Albatros (Japan) (Alt 1).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Albatros%20%28Japan%29%20%28Alt%201%29.rom?download=true
Albatros (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Albatros%20%28Japan%29.rom?download=true
Alcazar - The Forgotten Fortress (Japan) (Alt 1).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Alcazar%20-%20The%20Forgotten%20Fortress%20%28Japan%29%20%28Alt%201%29.rom?download=true
Alcazar - The Forgotten Fortress (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Alcazar%20-%20The%20Forgotten%20Fortress%20%28Japan%29.rom?download=true
Alibaba and 40 Thieves (Japan) (Alt 1).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Alibaba%20and%2040%20Thieves%20%28Japan%29%20%28Alt%201%29.rom?download=true
Alibaba and 40 Thieves (Japan) (Alt 2).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Alibaba%20and%2040%20Thieves%20%28Japan%29%20%28Alt%202%29.rom?download=true
Alibaba and 40 Thieves (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Alibaba%20and%2040%20Thieves%20%28Japan%29.rom?download=true
Alien 8 (Japan) (Alt 1).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Alien%208%20%28Japan%29%20%28Alt%201%29.rom?download=true
Alien 8 (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Alien%208%20%28Japan%29.rom?download=true
